Qoil,Qwater,Qgas,BHP,WHP,WHT,Tsep,Psep,Choke_in
2499.80,3749.70,6.25,4478.85,1295.74,170.25,120.10,100.00,0.90
1352.90,5411.50,3.38,4645.18,1047.50,176.05,129.09,100.00,0.90
5340.10,0.00,13.35,4450.76,1672.78,152.21,96.34,200.00,0.90
4385.40,1096.30,10.96,4354.66,1547.53,157.77,102.98,200.00,0.90
3491.90,2327.90,8.73,4387.91,1441.61,164.24,111.41,200.00,0.90
2499.80,3749.70,6.25,4478.85,1295.74,170.25,120.10,200.00,0.90
1352.90,5411.50,3.38,4645.18,1047.50,176.05,129.09,200.00,0.90
5340.10,0.00,13.35,4450.76,1672.78,152.21,96.34,300.00,0.90
4385.40,1096.30,10.96,4354.66,1547.53,157.77,102.98,300.00,0.90
3491.90,2327.90,8.73,4387.91,1441.61,164.24,111.41,300.00,0.90
2499.80,3749.70,6.25,4478.85,1295.74,170.25,120.10,300.00,0.90
1352.90,5411.50,3.38,4645.18,1047.50,176.05,129.09,300.00,0.90
5340.10,0.00,13.35,4450.76,1672.78,152.21,96.34,400.00,0.90
4385.40,1096.30,10.96,4354.66,1547.53,157.77,102.98,400.00,0.90
3491.90,2327.90,8.73,4387.91,1441.61,164.24,111.41,400.00,0.90
2499.80,3749.70,6.25,4478.85,1295.74,170.25,120.10,400.00,0.90
1352.90,5411.50,3.38,4645.18,1047.50,176.05,129.09,400.00,0.90
5340.10,0.00,13.35,4450.76,1672.78,152.21,96.34,500.00,0.90
4385.40,1096.30,10.96,4354.66,1547.53,157.77,102.98,500.00,0.90
3491.90,2327.90,8.73,4387.91,1441.61,164.24,111.41,500.00,0.90
2499.80,3749.70,6.25,4478.85,1295.74,170.25,120.10,500.00,0.90
1350.70,5402.90,3.38,4646.72,1050.27,176.00,129.00,500.00,0.90
5340.10,0.00,13.35,4450.76,1672.78,152.21,96.34,600.00,0.90
4385.40,1096.30,10.96,4354.66,1547.53,157.77,102.98,600.00,0.90
3491.90,2327.90,8.73,4387.93,1441.63,164.24,111.41,600.00,0.90
2498.50,3747.70,6.25,4479.46,1296.91,170.23,120.07,600.00,0.90
1334.00,5335.90,3.34,4658.79,1071.75,175.56,128.30,600.00,0.90
5906.90,0.00,14.77,4314.20,1363.67,156.84,101.74,100.00,1.16
4848.50,1212.10,12.12,4208.02,1251.73,162.13,108.57,100.00,1.16
3870.40,2580.30,9.68,4244.36,1158.81,168.30,117.20,100.00,1.16
2785.80,4178.70,6.96,4343.38,1035.07,174.31,126.33,100.00,1.16
